,Close,High,Low,Open,Volume,MA_5,MA_15,MA_20,MA_25,MA_30,Normalized_Close,Return_Ratio,Percentage_Change_Open,Percentage_Change_High,Percentage_Change_Low,Sector_Encoded,Stock_Movement_Label
0,85.39505767822266,86.9337058458697,85.05847220107998,86.50095623390906,7931965,0.0,0.0,0.0,0.0,0.0,-0.583466246419202,0.0,0.0129503812721052,0.0180180002154788,-0.0039415100392691,9.0,0.0
1,86.59712219238281,86.98177870716556,85.82779448911187,85.87588022188608,5987313,0.0,0.0,0.0,0.0,0.0,-0.556728087815259,0.0140765115317289,-0.0083287059920356,0.0044419087499028,-0.0088839869477627,9.0,0.0
2,87.7030258178711,88.2319395619757,86.1643776580029,86.54904153218325,7918121,0.0,0.0,0.0,0.0,0.0,-0.5321288868650166,0.0127706740996706,-0.013157861714877,0.0060307354184445,-0.0175438435050511,9.0,0.0
3,87.55879211425781,88.18386271887339,86.74137854787641,87.70303466187438,7347554,0.0,0.0,0.0,0.0,0.0,-0.535337153640898,-0.0016445692981312,0.001647379368006,0.0071388673772463,-0.0093355966504738,9.0,0.0
4,89.38592529296875,90.53991693416896,87.27028495604829,87.51069896419168,16683768,87.32798461914062,0.0,0.0,0.0,0.0,-0.4946952611738931,0.0208675009624009,-0.0209789888355564,0.0129102164285699,-0.0236686069980961,9.0,1.0
5,88.08768463134766,89.81866829728627,87.89535637373346,89.14550472193115,7405150,87.86651000976562,0.0,0.0,0.0,0.0,-0.5235727168408755,-0.0145239942123552,0.0120087171664293,0.0196506886653098,-0.0021833728337746,9.0,0.0
6,90.1552505493164,90.87649255371096,84.6738142506592,88.85701640877687,43342551,88.57813568115235,0.0,0.0,0.0,0.0,-0.4775827514209415,0.0234716796862312,-0.0143999837239582,0.008,-0.0607999674479166,9.0,1.0
7,90.97264862060548,92.70363221241152,89.91482857532507,90.39565653562092,30451633,89.23206024169922,0.0,0.0,0.0,0.0,-0.4594009325458091,0.0090665609191772,-0.0063424786870924,0.0190275167102695,-0.0116278910345014,9.0,1.0
8,90.1552505493164,91.98239842781985,89.72250828142091,91.50157042489016,13553520,89.75135192871093,0.0,0.0,0.0,0.0,-0.4775827514209415,-0.008985096989953,0.014933349609375,0.0202666829427082,-0.0047999674479166,9.0,0.0
9,90.87649536132812,92.22281527849624,89.72251105338592,89.9148393257585,11965127,90.04946594238281,0.0,0.0,0.0,0.0,-0.4615397204948402,0.0080000311420263,-0.0105820105820106,0.0148148309616815,-0.0126983804046791,9.0,1.0
10,92.31897735595705,93.2325476346341,90.58799359579156,90.8764933347702,9905227,90.89572448730468,0.0,0.0,0.0,0.0,-0.429453828347307,0.0158729932189126,-0.015625,0.0098958015441894,-0.018750031789144,9.0,1.0
11,91.9823989868164,93.13638326611944,91.02074297511284,92.31897712354204,8860848,91.26115417480467,0.0,0.0,0.0,0.0,-0.4369405195445978,-0.0036458199471043,0.0036591580610314,0.0125457075702974,-0.0104547828964689,9.0,0.0
12,91.64582061767578,92.55939089173609,91.02074274428304,92.17472702065956,5291973,91.39578857421876,0.0,0.0,0.0,0.0,-0.4444272107418886,-0.0036591605877649,0.00577120046958,0.00996848811984,-0.0068205824245975,9.0,0.0
13,91.21307373046876,92.65555778736658,90.92458132120116,92.22281550503855,6316781,91.60735321044922,0.0,0.0,0.0,0.0,-0.4540530292975494,-0.0047219489583965,0.0110701430537638,0.0158144441131358,-0.0031628405607737,9.0,0.0
14,89.43401336669922,91.1649972053122,87.60686538968629,91.0688257300588,8366185,91.31885681152345,89.56543579101563,0.0,0.0,0.0,-0.4936256126423734,-0.0195044448236289,0.0182795370778729,0.0193548715242775,-0.0204301239341816,9.0,0.0
15,87.84727478027344,90.20333639975505,87.31836837848596,90.1071649295636,10270614,90.42451629638671,89.72891693115234,0.0,0.0,0.0,-0.5289202806797964,-0.0177420035922999,0.025725216347834,0.0268199739306047,-0.00602074911385,9.0,0.0
16,85.01039123535156,86.3567110927128,83.71215711237403,84.96230550096784,8298640,89.03011474609374,89.62313486735026,0.0,0.0,0.0,-0.5920225861480125,-0.0322933585818977,-0.0005656453721121,0.015837121060106,-0.015271475687994,9.0,0.0
17,86.30862426757812,86.83753799170276,84.38531230618364,85.68354641275434,10285159,87.96267547607422,89.5301747639974,0.0,0.0,0.0,-0.5631453001856995,0.0152714628571982,-0.0072423568343052,0.0061281677076079,-0.0222841225626739,9.0,1.0
18,87.36644744873047,87.51069731827407,85.77971355745707,86.78945530740917,7382599,87.19335021972657,89.51735178629558,0.0,0.0,0.0,-0.5396155780623074,0.0122562859752326,-0.0066042761056513,0.0016510900208943,-0.0181618222739862,9.0,1.0
19,88.95317840576172,90.10716265033857,87.02986644023173,87.8953582920908,12574922,87.09718322753906,89.4885019938151,88.94837265014648,0.0,0.0,-0.504321079729554,0.0181617886885282,-0.0118918753959037,0.0129729399809965,-0.0216216216216217,9.0,1.0
20,87.75111389160156,89.86675425068513,87.46261414406591,89.43401196623502,11509016,87.07795104980468,89.4660639444987,89.06617546081543,0.0,0.0,-0.5310592383334969,-0.0135134520846114,0.0191780821917808,0.0241095555971746,-0.0032877046767979,9.0,0.0
