,Close,High,Low,Open,Volume,MA_5,MA_15,MA_20,MA_25,MA_30,Normalized_Close,Return_Ratio,Percentage_Change_Open,Percentage_Change_High,Percentage_Change_Low,Sector_Encoded,Stock_Movement_Label
0,177.21202087402344,179.17299221245577,175.5505060345733,176.19772179622956,2543885,0.0,0.0,0.0,0.0,0.0,-1.7743380433465727,0.0,-0.0057236471475878,0.0110656790028162,-0.0093758585408338,6.0,0.0
1,181.443115234375,182.14828851671143,176.98021634570816,177.7433470567386,3914925,0.0,0.0,0.0,0.0,0.0,-1.7571441166783697,0.023875887987076,-0.0203907884454987,0.0038864703211558,-0.0245966835550744,6.0,0.0
2,188.205078125,190.05013476447,182.00338308012465,182.57331741170904,14487235,0.0,0.0,0.0,0.0,0.0,-1.7296654825065578,0.0372676741241484,-0.029923532188385,0.009803437069028,-0.0329517944290344,6.0,0.0
3,190.37857055664065,192.4264781893146,188.14712125123927,188.94890002477024,8562850,0.0,0.0,0.0,0.0,0.0,-1.7208330466635486,0.0115485323419225,-0.0075096190064366,0.01075702809768,-0.0117211159789513,6.0,1.0
4,193.9044342041016,194.81247308932507,190.25296934985707,190.26263874646617,7607070,186.22864379882813,0.0,0.0,0.0,0.0,-1.7065049707963185,0.0185202758753351,-0.0187813933837226,0.0046829196503455,-0.018831260199037,6.0,1.0
5,197.4206695556641,198.0292519736304,195.13126292035773,195.13126292035773,5496735,190.27037353515624,0.0,0.0,0.0,0.0,-1.692216021500022,0.0181338573612058,-0.0115965903694842,0.0030826681893849,-0.0115965903694842,6.0,1.0
6,191.91448974609372,198.6474853676238,190.89053599130168,198.4542890489726,4438240,192.3646484375,0.0,0.0,0.0,0.0,-1.7145915215018293,-0.0278905943433537,0.034076631272246,0.0350833104391332,-0.0053354687087294,6.0,0.0
7,189.86659240722656,192.11736575292048,188.94889878952404,191.7309583549849,2882445,192.6969512939453,0.0,0.0,0.0,0.0,-1.7229135757198697,-0.0106708844213722,0.0098193469642076,0.01185449908358,-0.004833360129697,6.0,0.0
8,192.59071350097656,194.3584888281704,190.6876992561801,191.2673030401552,2970515,193.1393798828125,0.0,0.0,0.0,0.0,-1.7118435464716089,0.0143475535069765,-0.0068716213609887,0.0091789229867766,-0.0098811319102715,6.0,1.0
9,192.3298797607422,193.34416413935207,191.07408155396973,192.9287927827685,1633700,192.82446899414063,0.0,0.0,0.0,0.0,-1.7129034982997242,-0.0013543422499083,0.0031139884388811,0.0052736703203457,-0.0065293973475918,6.0,0.0
10,193.7209014892578,195.63358487447584,191.67299394460952,193.1992699459749,2432850,192.0845153808594,0.0,0.0,0.0,0.0,-1.707250793926573,0.0072324785428351,-0.0026926962412049,0.0098733970909383,-0.0105714330715204,6.0,1.0
11,194.6675720214844,196.5705858483159,192.2332572993564,193.5663368657487,2760640,192.6351318359375,0.0,0.0,0.0,0.0,-1.7034038025045477,0.0048867753812257,-0.0056570036000354,0.0097757104949225,-0.0125049832226772,6.0,1.0
12,202.6081085205078,204.7719312181568,195.1602691190353,195.82680905355636,6514465,195.1834350585937,0.0,0.0,0.0,0.0,-1.671135790817128,0.040790237513966,-0.0334700299828576,0.0106798425465284,-0.0367598288926263,6.0,1.0
13,215.68768310546875,218.29587053534163,205.46743904121004,207.20623557443724,14390900,199.80282897949212,0.0,0.0,0.0,0.0,-1.61798423542463,0.0645560273005413,-0.0393228181086454,0.0120924263839281,-0.0473844584776829,6.0,1.0
14,219.6965789794922,224.88399025628132,215.62008727201683,218.85616673339308,19073065,205.2761688232422,194.77642720540365,0.0,0.0,0.0,-1.601693258242856,0.0185865776677805,-0.0038253315094977,0.0236117071138981,-0.0185550987020871,6.0,1.0
15,233.8290863037109,238.6011108796945,221.4160414035261,222.5848887935527,16631450,213.2978057861328,198.55089823404947,0.0,0.0,0.0,-1.544262892981451,0.064327389119418,-0.048087249058287,0.0204081735570968,-0.05308597444572,6.0,1.0
16,241.66331481933597,244.010693708906,229.14400987474636,230.7475526778171,14263290,222.69695434570312,202.5655782063802,0.0,0.0,0.0,-1.5124268857626448,0.033504080435269,-0.0451692974156184,0.0097134266792826,-0.0518047389772372,6.0,1.0
17,272.9229431152344,277.8205516046695,248.4542689417268,249.22705421711927,32973625,236.75992126464843,208.21343587239585,0.0,0.0,0.0,-1.3853969235780377,0.1293519801268458,-0.0868226343584098,0.0179450229926885,-0.0896541488751875,6.0,1.0
