date,close,high,low,open,volume,ma_20_unnamed: 6_level_1,ma_50_unnamed: 7_level_1,NORMALISED_CLOSE,RETURN RATIO,PERCENTAGE_CHANGE_OPEN,PERCENTAGE_CHANGE_CLOSE,PERCENTAGE_CHANGE_LOW,Sector_Name,Sector_Encoded,ma_5,ma_10,ma_15,ma_20,ma_25,ma_30
2020-01-10,2.299999952316284,2.5,2.299999952316284,2.400000095367432,352372.0,,,-1.5132576081257352,,0.043478323967111,0.0869565442739681,0.0,Consumer Services,6.0,,,,,,
2020-01-13,2.200000047683716,2.400000095367432,2.200000047683716,2.299999952316284,305317.0,,,-1.5170999258158595,-0.0434782203068571,0.0454545011205131,0.0909091106131052,0.0,Consumer Services,6.0,,,,,,
2020-01-14,2.0999999046325684,2.299999952316284,2.0999999046325684,2.200000047683716,213628.0,,,-1.5209422526667922,-0.0454546094925921,0.0476191179011715,0.0952381222696814,0.0,Consumer Services,6.0,,,,,,
2020-01-15,2.200000047683716,2.200000047683716,2.0,2.0,72106.0,,,-1.5170999258158595,0.0476191179011716,-0.0909091106131052,0.0,-0.0909091106131052,Consumer Services,6.0,,,,,,
2020-01-16,2.200000047683716,2.299999952316284,2.0999999046325684,2.200000047683716,110543.0,,,-1.5170999258158595,0.0,0.0,0.0454545011205131,-0.0454546094925921,Consumer Services,6.0,2.2,,,,,
2020-01-17,2.25,2.299999952316284,2.200000047683716,2.200000047683716,48975.0,,,-1.5151787669707977,0.0227272505602565,-0.0222222010294596,0.0222222010294597,-0.0222222010294596,Consumer Services,6.0,2.190000009536744,,,,,
2020-01-20,2.25,2.3499999046325684,2.150000095367432,2.25,113946.0,,,-1.5151787669707977,0.0,0.0,0.0444444020589192,-0.0444444020589193,Consumer Services,6.0,2.2,,,,,
2020-01-21,2.3499999046325684,2.3499999046325684,2.200000047683716,2.25,230110.0,,,-1.511336449280673,0.0444444020589192,-0.0425531526343631,0.0,-0.0638297289515446,Consumer Services,6.0,2.25,,,,,
2020-01-22,2.299999952316284,2.3499999046325684,2.25,2.3499999046325684,34948.0,,,-1.5132576081257352,-0.0212765763171815,0.0217391101534285,0.0217391101534285,-0.0217391101534285,Consumer Services,6.0,2.2699999809265137,,,,,
2020-01-23,2.25,2.400000095367432,2.25,2.299999952316284,92744.0,,,-1.5151787669707977,-0.0217391101534285,0.0222222010294597,0.0666667090521917,0.0,Consumer Services,6.0,2.2799999713897705,2.2399999856948853,,,,
2020-01-24,2.299999952316284,2.3499999046325684,2.150000095367432,2.150000095367432,183732.0,,,-1.5132576081257352,0.0222222010294596,-0.0652173304602857,0.0217391101534285,-0.0652173304602857,Consumer Services,6.0,2.289999961853028,2.2399999856948853,,,,
