date,close,high,low,open,volume,ma_20_unnamed: 6_level_1,ma_50_unnamed: 7_level_1,NORMALISED_CLOSE,RETURN RATIO,PERCENTAGE_CHANGE_OPEN,PERCENTAGE_CHANGE_CLOSE,PERCENTAGE_CHANGE_LOW,Sector_Name,Sector_Encoded,ma_5,ma_10,ma_15,ma_20,ma_25,ma_30
2020-01-10,194.2698211669922,196.6462195189102,190.40819461955525,192.04195621069945,395714.0,,,-0.971579391585933,,-0.011467890086632,0.012232462755372,-0.0198776450415194,Construction,3.0,,,,,,
2020-01-13,194.96292114257807,197.2402971075733,191.39834647050668,196.8937494205433,212630.0,,,-0.9644569398807276,0.003567718194326,0.0099035666199991,0.0116810722349083,-0.0182833466547448,Construction,3.0,,,,,,
2020-01-14,192.09146118164065,196.54719095131784,191.20032127117543,196.54719095131784,762425.0,,,-0.993964710210569,-0.0147282362415855,0.0231958762886597,0.0231958762886597,-0.0046391437963112,Construction,3.0,,,,,,
2020-01-15,191.1508178710937,191.5963878443453,186.7445990535146,191.1508178710937,172370.0,,,-1.003630973069013,-0.0048968512434678,0.0,0.0023309864860325,-0.0230510068785086,Construction,3.0,,,,,,
2020-01-16,192.5865478515625,195.8540861324759,191.10130455193604,192.04195561996423,290122.0,,,-0.988877087904092,0.0075109800546967,-0.0028277791864155,0.0169665966671352,-0.0077120822622108,Construction,3.0,193.0123138427734,,,,,
2020-01-17,195.50753784179688,196.54721125049969,190.90328931441223,192.58656215729064,244606.0,,,-0.958860335819741,0.0151671548341255,-0.0149404760386776,0.005317817513226,-0.0235502353423854,Construction,3.0,193.25985717773435,,,,,
2020-01-20,194.61639404296875,202.38915867156405,191.24983331420523,200.1117975743345,572131.0,,,-0.9680179305291924,-0.0045581045552792,0.0282371048872298,0.0399388996328806,-0.0172984436656462,Construction,3.0,193.1905517578125,,,,,
2020-01-21,193.1806488037109,194.07178872889364,191.2003244289263,193.0816265415013,143579.0,,,-0.9827719724968716,-0.0073773088146973,-0.0005125889307382,0.0046129875362836,-0.0102511529340436,Construction,3.0,193.40838928222652,,,,,
2020-01-22,190.3091735839844,194.3193335529265,189.2200042190846,194.3193335529265,91419.0,,,-1.0122798996294715,-0.0148641969964819,0.0210718164207279,0.0210718164207279,-0.0057231574515724,Construction,3.0,193.24006042480468,,,,,
2020-01-23,194.91343688964844,196.0521173865544,190.1606552646028,190.90327692137004,255732.0,,,-0.9649654512269614,0.0241935962358229,-0.0205740560131253,0.005841980496966,-0.0243840635150077,Construction,3.0,193.70543823242187,193.35887603759767,,,,
2020-01-24,194.3193206787109,195.90358615191832,192.58653692743584,195.90358615191832,283047.0,,,-0.9710707234369405,-0.003048102893357,0.0081528973427547,0.0081528973427547,-0.0089171974522292,Construction,3.0,193.4677947998047,193.36382598876952,,,,
2020-01-27,194.0222930908203,196.54720989202508,191.101317426503,193.47770082253265,139826.0,,,-0.9741230459364127,-0.0015285540668482,-0.0028068540970842,0.0130135396349679,-0.0150548455942124,Construction,3.0,193.348974609375,193.2697631835937,,,,
2020-01-28,192.73507690429688,195.90360820743604,191.6459074889352,194.4678608506549,78002.0,,,-0.9873507698515972,-0.0066343726074864,0.0089904960435327,0.0164398269066119,-0.0056511219071063,Construction,3.0,193.25986022949215,193.33412475585936,,,,
2020-01-29,195.21047973632807,203.3298221980824,191.3488530405586,193.7747475088588,644349.0,,,-0.9619129719247304,0.0128435512195863,-0.0073547907336153,0.0415927591219544,-0.0197818616141175,Construction,3.0,194.24012145996093,193.7400909423828,,,,
2020-01-30,195.4580078125,196.49768112070308,193.08162462975795,195.4580078125,760823.0,,,-0.9593693175742508,0.0012680060850534,0.0,0.0053191645604022,-0.0121580241676345,Construction,3.0,194.34903564453128,194.02723693847653,193.68892923990884,,,
2020-01-31,196.4481658935547,200.0127557020112,194.1708050195316,196.05210707424865,198027.0,,,-0.9491942297640557,0.0050658353276808,-0.002016098330593,0.0181451926122231,-0.0115926807647422,Construction,3.0,194.7748046875,194.12129974365232,193.8341522216797,,,
2020-02-03,189.4675445556641,191.99244609927487,182.63541625484743,189.12098173937272,254683.0,,,-1.020928669387172,-0.0355341639670643,-0.0018291408014184,0.0133263010798612,-0.0360596233874207,Construction,3.0,193.86385498046877,193.60641479492185,193.4677937825521,,,
2020-02-04,189.5170288085937,193.67572191109656,188.1308078468764,189.61605106672013,131243.0,,,-1.020420158040938,0.0002611753535189,0.0005224979451656,0.0219436381450606,-0.0073144929003579,Construction,3.0,193.2202453613281,193.24005279541012,193.2961649576823,,,
2020-02-05,196.0026092529297,200.01276928255783,190.0121247749593,190.0121247749593,441314.0,,,-0.9537728703160228,0.0342216236984496,-0.0305632894419276,0.0204597277807321,-0.0305632894419276,Construction,3.0,193.37867126464843,193.80939636230465,193.61961771647137,,,
2020-02-06,193.82424926757807,203.1317678377232,191.7944137503204,197.93341632479965,555173.0,193.5296768188477,,-0.9761581889406586,-0.0111139336035089,0.0212004796755267,0.0480204030471742,-0.0104725570971024,Construction,3.0,193.05191955566409,193.70047760009763,193.7021311442057,193.52967681884763,,
2020-02-07,197.98291015625,199.9137232420273,194.269802257188,194.269802257188,285700.0,193.7153312683105,,-0.9334228514983912,0.0214558338514741,-0.0187546889584134,0.0097524229957699,-0.0187546889584134,Construction,3.0,193.35886840820316,194.06683654785155,193.86715596516925,193.7153312683105,,
