Price,Close,High,Low,Open,Volume,MA_20,MA_50,Volatility_20,Volatility_50
Ticker,TATAMOTORS.NS,TATAMOTORS.NS,TATAMOTORS.NS,TATAMOTORS.NS,TATAMOTORS.NS,,,,
Date,,,,,,,,,
2020-01-10,195.13775634765625,197.7713893867218,188.82695469083993,190.81460684548034,60252338,,,,
2020-01-13,195.0383758544922,196.52911503299785,190.2183131114906,193.5476366759865,40535961,,,,
2020-01-14,194.64083862304688,197.0260150853596,192.40473000291038,194.49175561628851,29867542,,,,
2020-01-15,199.11306762695312,200.45472377955102,192.8022657492252,193.7960918613346,38485962,,,,
2020-01-16,196.33035278320312,199.36152547817176,195.68435670729463,198.26831068176236,28118140,,,,
2020-01-17,196.08189392089844,198.21861398486334,194.49176608405276,196.03219958263773,18204088,,,,
2020-01-20,193.7960968017578,200.20627235536082,193.10042153846305,196.77757521409256,28976013,,,,
2020-01-21,190.2183074951172,195.18743794341788,189.02571922044157,194.29300052855683,20859400,,,,
2020-01-22,184.45413208007812,191.3115261731797,183.1124607657577,190.7649187797683,32952072,,,,
2020-01-23,187.23683166503906,189.22448387025,182.66524069180358,185.59702466157316,33032086,,,,
2020-01-24,185.3485565185547,189.82077369996753,183.85781745808373,186.83929557902565,21791825,,,,
2020-01-27,181.07510375976562,185.7460831743004,179.73344768743848,184.5534949440378,30132428,,,,
2020-01-28,175.01278686523438,183.16215806602068,173.82018338229418,182.7646185168462,38283588,,,,
2020-01-29,186.88900756835938,187.73375068367545,177.4476592935032,177.69611582705204,61585660,,,,
2020-01-30,185.0504150390625,191.36121678028263,183.11245719528537,189.77108896947013,70900581,,,,
2020-01-31,175.5096893310547,187.18714560719488,174.8636932893699,185.1497991388667,75621897,,,,
2020-02-03,162.83840942382812,167.26093245098534,158.56495424297523,162.4905642296747,66616190,,,,
2020-02-04,164.67698669433594,167.5590915698453,160.20476910970928,165.52174497059872,49034642,,,,
2020-02-05,182.6155548095703,183.80814315500183,165.57144242651052,166.36649121374248,92982265,,,,
2020-02-06,177.7458038330078,182.26770045080002,174.66493686095023,180.87634997833823,61821140,185.44049835205078,,10.321803686202255,
2020-02-07,172.52821350097656,177.0501100319252,171.93191178732624,176.30474047215355,45195760,184.3100212097168,,10.441273645461134,
2020-02-10,167.8572235107422,172.1306788064135,166.96278607971973,172.1306788064135,33279372,182.9509635925293,,10.736165928524082,
2020-02-11,168.7019805908203,174.0686354686716,167.3603092890661,170.78902146808628,42868276,181.65402069091797,,10.816116237026016,
2020-02-12,169.8945770263672,172.23007454080732,167.9566190700145,171.93192366338764,34621395,180.19309616088867,,10.294503449952348,
2020-02-13,168.45352172851562,171.28593214199628,167.0621712726972,170.29210605510238,25049848,178.79925460815429,,9.87316910519763,
2020-02-14,168.05601501464844,175.11217187412726,167.26095102869166,170.93810490358447,56676430,177.3979606628418,,9.261024657252173,
2020-02-17,168.05601501464844,170.29212394507323,165.32299298857367,169.34797693167093,32893274,176.11095657348633,,8.629235696732367,
2020-02-18,160.60231018066406,166.96279140650716,157.62083176269073,166.96279140650716,52744122,174.63015670776366,,8.622052092868172,
2020-02-19,157.07421875,163.5837827632829,152.1050882306364,161.84458708150564,78914233,173.26116104125975,,9.138332642784375,
2020-02-20,157.5214385986328,161.29798085347247,155.03687332105187,156.9748312046484,54328194,171.77539138793946,,9.162114816332137,
2020-02-24,149.7198944091797,154.93748138225516,148.67638914623075,153.04921787687996,39706007,169.99395828247071,,9.823941398380132,
2020-02-25,148.9745330810547,152.4529245888206,146.53966205853524,151.2603362476461,52719851,168.38892974853516,,10.516124927165631,
2020-02-26,143.65756225585938,146.98687051025317,142.81280402579603,145.99304443468802,47605927,166.8211685180664,,11.74240255079057,
