date,close,high,low,open,volume,ma_20_unnamed: 6_level_1,ma_50_unnamed: 7_level_1,NORMALISED_CLOSE,RETURN RATIO,PERCENTAGE_CHANGE_OPEN,PERCENTAGE_CHANGE_CLOSE,PERCENTAGE_CHANGE_LOW,Sector_Name,Sector_Encoded,ma_5,ma_10,ma_15,ma_20,ma_25,ma_30
2020-01-10,6028.22705078125,6057.947664569449,6015.023204838982,6056.034908944147,2427.0,,,0.2489353340368896,,0.0046129414052666,0.0049302412695864,-0.0021903365336176,Fast Moving Consumer Goods,8.0,,,,,,
2020-01-13,6056.640625,6104.557471344434,6009.423633892433,6055.893839366391,4062.0,,,0.2709874764179383,0.0047134213723863,-0.0001233003045494,0.0079114560878266,-0.0077959043686147,Fast Moving Consumer Goods,8.0,,,,,,
2020-01-14,6045.396484375,6093.406739638847,6005.691543080493,6087.621086973569,9660.0,,,0.2622607534753735,-0.0018564979039019,0.0069845878111887,0.0079416222555352,-0.0065677977279288,Fast Moving Consumer Goods,8.0,,,,,,
2020-01-15,6016.79541015625,6092.379776477679,6009.423692716083,6078.47607676282,4335.0,,,0.2400630899196703,-0.0047310501954127,0.0102514149812131,0.012562229753374,-0.0012251899786593,Fast Moving Consumer Goods,8.0,,,,,,
2020-01-16,6025.61376953125,6065.412113270571,6010.356834088577,6047.682447093319,5753.0,,,0.2469071326651419,0.0014656239366415,0.0036624779493268,0.006604861390314,-0.0025320135053826,Fast Moving Consumer Goods,8.0,6034.53466796875,,,,,
2020-01-17,6022.4873046875,6063.545476581868,6011.849596732757,6050.481512797296,3363.0,,,0.2444806428700558,-0.0005188624700041,0.0046482801363494,0.0068174775333127,-0.0017663313206925,Fast Moving Consumer Goods,8.0,6033.38671875,,,,,
2020-01-20,5968.08642578125,6053.281964720255,5962.767343080381,6052.582109398297,5431.0,,,0.2022594172664441,-0.0090329586687394,0.0141579189021188,0.0142751851868252,-0.0008912543018633,Fast Moving Consumer Goods,8.0,6015.67587890625,,,,,
2020-01-21,5900.06005859375,5976.764383284267,5889.98232432323,5976.764383284267,6005.0,,,0.1494632740098763,-0.0113983549054578,0.0130006006597835,0.0130006006597835,-0.0017080731671266,Fast Moving Consumer Goods,8.0,5986.60859375,,,,,
2020-01-22,5883.869140625,5962.76596341118,5860.120539940877,5962.76596341118,17472.0,,,0.1368972932016209,-0.0027441954502085,0.0134090036505807,0.0134090036505807,-0.0040362217643745,Fast Moving Consumer Goods,8.0,5960.02333984375,,,,,
2020-01-23,5876.96435546875,5913.310354085614,5862.22092030209,5913.310354085614,3856.0,,,0.1315384001526888,-0.0011735109995183,0.0061844851216499,0.0061844851216499,-0.0025086820805608,Fast Moving Consumer Goods,8.0,5930.29345703125,5982.4140625,,,,
2020-01-24,5874.63134765625,5915.1764767337045,5852.656075417857,5901.1793719615,5370.0,,,0.1297277226201383,-0.0003969749808553,0.004519096217985,0.0069017316454471,-0.0037407065972164,Fast Moving Consumer Goods,8.0,5900.722265625,5967.0544921875,,,,
2020-01-27,5853.775390625,5883.402592510127,5847.989739026554,5855.548265910049,3201.0,,,0.1135411446695663,-0.0035501729039679,0.0003028601486636,0.0050612126205893,-0.0009883624178187,Fast Moving Consumer Goods,8.0,5877.86005859375,5946.76796875,,,,
2020-01-28,5854.1962890625,5877.805015005993,5841.4590134907485,5876.824944186646,4365.0,,,0.1138678093897544,7.190204772360787e-05,0.0038653734871212,0.0040327868724867,-0.0021757513658277,Fast Moving Consumer Goods,8.0,5868.6873046875,5927.64794921875,,,,
2020-01-29,5850.64990234375,5874.351575246991,5841.458379102684,5860.121185425694,5348.0,,,0.1111154127972649,-0.0006057854133411,0.0016188429046404,0.0040511179610569,-0.0015710260218073,Fast Moving Consumer Goods,8.0,5862.04345703125,5911.0333984375,,,,
2020-01-30,5841.83203125,5864.74090130281,5832.594032476741,5855.455972128877,2909.0,,,0.1042717490131856,-0.0015071609549252,0.0023321349888181,0.0039215215244572,-0.0015813530282695,Fast Moving Consumer Goods,8.0,5855.0169921875,5892.655224609375,5939.948372395834,,,
2020-01-31,5829.1875,5854.988737839672,5822.795397899363,5832.126800780612,2501.0,,,0.0944581647974197,-0.0021644804544807,0.0005042385033269,0.0044262151182599,-0.0010965682782784,Fast Moving Consumer Goods,8.0,5845.92822265625,5873.325244140625,5926.679069010416,,,
2020-02-03,5945.59716796875,5972.098262883307,5809.731841361167,5836.746436851154,7586.0,,,0.1848052134585298,0.0199701361414004,-0.018307787770086,0.0044572637812276,-0.0228514180778244,Fast Moving Consumer Goods,8.0,5864.292578125,5871.076318359375,5919.276171875,,,
2020-02-04,6025.14697265625,6092.472953453247,5954.368190532266,6016.795184806728,11771.0,,,0.2465448455740749,0.0133796156113747,-0.001386155041101,0.0111741640664602,-0.0117472291456451,Fast Moving Consumer Goods,8.0,5898.48271484375,5883.585009765625,5917.926204427084,,,
2020-02-05,6064.2919921875,6089.627115810356,6028.086330844442,6074.556535475315,12146.0,,,0.2769258014357423,0.006496940192314,0.0016926202269018,0.0041777545763783,-0.0059703031103549,Fast Moving Consumer Goods,8.0,5941.2111328125,5901.627294921875,5921.092643229166,,,
2020-02-06,5977.13671875,6092.472949649798,5960.900168841003,6092.472949649798,4731.0,5947.029296875,,0.2092834666732722,-0.0143718794460722,0.0192962343554887,0.0192962343554887,-0.0027164427840614,Fast Moving Consumer Goods,8.0,5968.2720703125,5911.64453125,5917.86083984375,5947.029296875,,
2020-02-07,5927.07373046875,6006.484058847336,5902.112228159932,5977.136615000391,4149.0,5941.971630859375,,0.1704289340791162,-0.0083757475588946,0.0084464757497932,0.013397897848034,-0.0042114377927341,Fast Moving Consumer Goods,8.0,5987.84931640625,5916.88876953125,5911.499934895834,5941.971630859375,,
2020-02-10,5940.0908203125,5958.986909575375,5927.353091931112,5953.388068312301,3851.0,5936.144140625,,0.1805316658372296,0.0021962085230751,0.0022385597126444,0.0031811111705999,-0.0021443659308761,Fast Moving Consumer Goods,8.0,5986.748046875,5925.5203125,5909.633561197917,5936.144140625,,
2020-02-11,5962.25439453125,5977.651211863348,5944.104630634269,5944.104630634269,3022.0,5931.987036132812,,0.19773310239646,0.0037311844025953,-0.0030441109513255,0.0025823818162171,-0.0030441109513255,Fast Moving Consumer Goods,8.0,5974.16953125,5936.326123046875,5913.779850260416,5931.987036132812,,
2020-02-12,5984.88232421875,6064.479012212779,5940.837918333999,5977.696961414842,5312.0,5930.391381835938,,0.2152949312397958,0.0037951969490357,-0.0012005854776511,0.0132996245677092,-0.007359276841003,Fast Moving Consumer Goods,8.0,5958.28759765625,5949.749365234375,5920.5140625,5930.391381835938,,
