,Close,High,Low,Open,MA_5,MA_15,MA_10,MA_20,MA_25,MA_30,Return_Ratio,Percentage_Change_Open,Percentage_Change_High,Percentage_Change_Low,Sector_Encoded
0,2.25,2.3499999046325684,2.25,2.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0444444020589192,0.0,19.0
1,2.3499999046325684,2.3499999046325684,2.25,2.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0444444020589192,-0.0425531526343631,0.0,-0.0425531526343631,19.0
2,2.299999952316284,2.3499999046325684,2.25,2.299999952316284,0.0,0.0,0.0,0.0,0.0,0.0,-0.0212765763171815,0.0,0.0217391101534285,-0.0217391101534285,19.0
3,2.299999952316284,2.3499999046325684,2.25,2.299999952316284,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0217391101534285,-0.0217391101534285,19.0
4,2.4000000953674316,2.450000047683716,2.299999952316284,2.3499999046325684,2.3199999809265135,0.0,0.0,0.0,0.0,0.0,0.043478323967111,-0.0208334119783476,0.0208333126372768,-0.0416667246156245,19.0
5,2.549999952316284,2.75,2.299999952316284,2.4000000953674316,2.3799999713897706,0.0,0.0,0.0,0.0,0.0,0.0624999379118308,-0.0588234744132448,0.0784313927151436,-0.0980392175195584,19.0
6,2.5999999046325684,2.799999952316284,2.5,2.549999952316284,2.4299999713897704,0.0,0.0,0.0,0.0,0.0,0.0196078248044149,-0.0192307515962583,0.0769230980844899,-0.0384615031925166,19.0
7,2.5999999046325684,2.75,2.5999999046325684,2.5999999046325684,2.4899999618530275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0576923464882317,0.0,19.0
8,2.5,2.700000047683716,2.450000047683716,2.5999999046325684,2.5299999713897705,0.0,0.0,0.0,0.0,0.0,-0.0384615031925165,0.0399999618530273,0.0800000190734864,-0.0199999809265136,19.0
9,2.5,2.5999999046325684,2.4000000953674316,2.5,2.549999952316284,2.434999966621399,0.0,0.0,0.0,0.0,0.0,0.0,0.0399999618530273,-0.0399999618530273,19.0
10,2.450000047683716,2.5999999046325684,2.4000000953674316,2.549999952316284,2.5299999713897705,2.4549999713897703,0.0,0.0,0.0,0.0,-0.0199999809265136,0.0408162868107331,0.0612244302160995,-0.0204081434053665,19.0
11,2.4000000953674316,2.5,2.4000000953674316,2.5,2.490000009536743,2.459999990463257,0.0,0.0,0.0,0.0,-0.0204081434053665,0.0416666252745538,0.0416666252745538,0.0,19.0
12,2.3499999046325684,2.5,2.3499999046325684,2.4000000953674316,2.4400000095367433,2.4649999856948854,0.0,0.0,0.0,0.0,-0.0208334119783476,0.0212766777719002,0.0638298304062632,0.0,19.0
13,2.4000000953674316,2.5,2.3499999046325684,2.4000000953674316,2.4200000286102297,2.475,0.0,0.0,0.0,0.0,0.0212766777719001,0.0,0.0416666252745538,-0.0208334119783476,19.0
14,2.4000000953674316,2.450000047683716,2.3499999046325684,2.450000047683716,2.400000047683716,2.475,2.4233333269755044,0.0,0.0,0.0,0.0,0.0208333126372768,0.0208333126372768,-0.0208334119783476,19.0
15,2.4000000953674316,2.450000047683716,2.3499999046325684,2.450000047683716,2.390000057220459,2.460000014305115,2.433333333333333,0.0,0.0,0.0,0.0,0.0208333126372768,0.0208333126372768,-0.0208334119783476,19.0
16,2.299999952316284,2.3499999046325684,2.200000047683716,2.3499999046325684,2.3700000286102294,2.4300000190734865,2.430000003178914,0.0,0.0,0.0,-0.0416667246156245,0.0217391101534285,0.0217391101534285,-0.0434782203068571,19.0
17,2.75,2.75,2.25,2.25,2.450000047683716,2.4450000286102296,2.460000006357829,0.0,0.0,0.0,0.195652198701365,-0.1818181818181817,0.0,-0.1818181818181817,19.0
18,2.75,3.25,2.6500000953674316,2.9000000953674316,2.5200000286102293,2.4700000286102295,2.490000009536743,0.0,0.0,0.0,0.0,0.0545454892245205,0.1818181818181818,-0.0363636016845703,19.0
19,2.549999952316284,2.799999952316284,2.5,2.700000047683716,2.55,2.475000023841858,2.5,2.4549999952316286,0.0,0.0,-0.0727272900668057,0.0588235679107285,0.0980392175195585,-0.0196078248044149,19.0
20,3.049999952316284,3.049999952316284,2.75,2.75,2.6799999713897704,2.5350000143051146,2.533333333333333,2.4949999928474424,0.0,0.0,0.196078435039117,-0.0983606416414705,0.0,-0.0983606416414705,19.0
